564,1,1
468,1,1
171,1,1
954,47,1
686,47,1
583,47,1
1186,101,1
978,101,1
352,208,1
43,208,1
951,208,1
731,223,1
129,223,1
3,253,1
468,253,1
2,253,1
185,353,1
557,353,1
864,353,1
564,364,1
766,364,1
906,364,1
865,471,1
921,471,1
557,471,1
142,480,1
3,480,1
279,480,1
154,480,1
138,480,1
813,551,1
247,551,1
605,551,1
805,588,1
564,588,1
766,588,1
564,595,1
766,595,1
779,595,1
1049,741,1
683,741,1
43,741,1
3,919,1
468,919,1
906,919,1
564,1032,1
3,1032,1
1163,1032,1
437,1080,1
132,1080,1
775,1080,1
1045,1097,1
468,1097,1
43,1097,1
564,1148,1
451,1148,1
264,1148,1
3,1197,1
264,1197,1
468,1197,1
437,1202,1
679,1202,1
537,1202,1
3,1259,1
917,1259,1
381,1259,1
564,1274,1
683,1274,1
352,1274,1
1041,1527,1
43,1527,1
1163,1527,1
142,1580,1
264,1580,1
43,1580,1
608,1721,1
1045,1721,1
864,1721,1
627,1732,1
318,1732,1
679,1732,1
537,1732,1
867,1967,1
468,1967,1
1163,1967,1
564,2138,1
813,2138,1
3,2138,1
1136,2140,1
954,2140,1
468,2140,1
779,2143,1
468,2143,1
864,2143,1
264,2174,1
679,2174,1
605,2174,1
468,2193,1
537,2291,1
468,2291,1
1163,2291,1
813,2313,1
3,2313,1
1045,2313,1
220,2395,1
917,2395,1
1093,2395,1
142,2628,1
468,2628,1
43,2628,1
908,2683,1
56,2683,1
382,2683,1
264,2706,1
1047,2706,1
821,2706,1
142,2716,1
557,2716,1
400,2716,1
696,2716,1
499,2762,1
400,2762,1
161,2762,1
406,2762,1
1026,2762,1
239,2918,1
917,2918,1
139,2918,1
564,2987,1
1001,2987,1
468,2987,1
277,2987,1
921,3052,1
775,3052,1
129,3052,1
1162,3081,1
557,3081,1
605,3081,1
564,3114,1
766,3114,1
171,3114,1
1112,3581,1
437,3581,1
381,3581,1
742,3671,1
775,3671,1
601,3671,1
142,3793,1
185,3793,1
693,3793,1
190,3897,1
971,3897,1
181,3897,1
451,4011,1
264,4011,1
478,4011,1
3,4103,1
92,4103,1
839,4103,1
93,4226,1
406,4226,1
1026,4226,1
176,4446,1
352,4446,1
43,4446,1
264,4571,1
43,4571,1
382,4571,1
813,4754,1
679,4754,1
686,4754,1
185,4865,1
844,4865,1
633,4865,1
406,4878,1
43,4878,1
1163,4878,1
537,4979,1
222,4979,1
978,4979,1
3,4993,1
468,4993,1
440,4993,1
564,5072,1
1049,5072,1
805,5349,1
185,5349,1
693,5349,1
142,5378,1
468,5378,1
43,5378,1
686,5679,1
468,5679,1
743,5679,1
3,5952,1
468,5952,1
554,5952,1
813,6242,1
686,6242,1
161,6242,1
1049,6283,1
985,6283,1
43,6283,1
619,6328,1
986,6328,1
1094,6328,1
564,6377,1
381,6377,1
171,6377,1
437,6502,1
352,6502,1
977,6502,1
813,6711,1
381,6711,1
782,6711,1
899,6820,1
805,6882,1
382,6882,1
451,6942,1
1020,6942,1
554,6942,1
721,6942,1
85,6942,1
3,7147,1
468,7147,1
1163,7147,1
468,7153,1
554,7153,1
446,7153,1
813,8019,1
1049,8607,1
659,8607,1
1053,8607,1
118,8607,1
381,8784,1
864,8784,1
142,8961,1
171,8961,1
693,8961,1
381,9010,1
864,9010,1
564,27660,1
1049,27660,1
683,27660,1
43,27660,1
468,27772,1
46,27772,1
